# L=12, N=12, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=6)              S₁acc(ℓ=6)                 S₂(ℓ=6)              S₂acc(ℓ=6)                 EN(ℓ=6)              ENacc(ℓ=6)                 S₁(n=6)                 S₂(n=6)
    5.722368     -8.120959161839E+00      1.016395705732E+00      1.918518739941E-01      6.146316678399E-01      1.157801343643E-01      1.644567111935E+00      4.444429872593E-01      4.875126953904E+00      3.456597157255E+00
    6.135907     -7.605718772545E+00      9.211048511242E-01      1.761372177427E-01      5.239437409237E-01      1.126895616116E-01      1.562122658443E+00      4.085827944539E-01      5.164064554854E+00      3.839813066580E+00
    6.579332     -7.118262722070E+00      8.264723018505E-01      1.574174655996E-01      4.436892903954E-01      1.059412546974E-01      1.474009150937E+00      3.683464009608E-01      5.415550559187E+00      4.215324869695E+00
    7.054802     -6.658966542642E+00      7.371872336489E-01      1.378983219963E-01      3.754463120321E-01      9.667130796615E-02      1.384567436389E+00      3.270970024511E-01      5.628254493910E+00      4.564394441517E+00
    7.564633     -6.227127564773E+00      6.557286866371E-01      1.192501818716E-01      3.185261934156E-01      8.626571923501E-02      1.297132951885E+00      2.874381010596E-01      5.805978446660E+00      4.875911845307E+00
    8.111308     -5.821548253381E+00      5.827654749111E-01      1.023876969864E-01      2.712668874156E-01      7.584513012623E-02      1.213726951462E+00      2.509194955276E-01      5.954346382754E+00      5.146674129442E+00
    8.697490     -5.440885785305E+00      5.179371824462E-01      8.762698060319E-02      2.318923019947E-01      6.609215270266E-02      1.135284249289E+00      2.182052289772E-01      6.078800602392E+00      5.378876279667E+00
    9.326033     -5.083806814989E+00      4.604682256913E-01      7.493238553310E-02      1.988723313856E-01      5.731771807019E-02      1.062034844386E+00      1.893824484342E-01      6.183866536701E+00      5.577180286269E+00
   10.000000     -4.749034355754E+00      4.095050232908E-01      6.410753426332E-02      1.709936232375E-01      4.959696522218E-02      9.938270392347E-01      1.642280966734E-01      6.273095601673E+00      5.746701882300E+00
   10.722672     -4.435350962662E+00      3.642562399930E-01      5.490694012641E-02      1.473182999648E-01      4.288295868415E-02      9.303390794950E-01      1.423853328695E-01      6.349241013529E+00      5.892057641023E+00
   11.497570     -4.141590767290E+00      3.240314003788E-01      4.708982908927E-02      1.271195395485E-01      3.707787325520E-02      8.711975654259E-01      1.234630177889E-01      6.414458801338E+00      6.017098469271E+00
   12.328467     -3.866632525609E+00      2.882382558234E-01      4.044118017181E-02      1.098256139086E-01      3.207061647155E-02      8.160353912430E-01      1.070847880114E-01      6.470468649550E+00      6.124955046146E+00
   13.219411     -3.609396278027E+00      2.563681290211E-01      3.477686675569E-02      9.497857289992E-02      2.775413843818E-02      7.645156331592E-01      9.290946147492E-02      6.518668157028E+00      6.218174476668E+00
   14.174742     -3.368842866355E+00      2.279806716241E-01      2.994212882684E-02      8.220543228281E-02      2.403208592880E-02      7.163382143389E-01      8.063674145275E-02      6.560211026784E+00      6.298854034382E+00
   15.199111     -3.143974933324E+00      2.026913430671E-01      2.580781011668E-02      7.119825921197E-02      2.082041749327E-02      6.712387917229E-01      7.000612511233E-02      6.596060854989E+00      6.368745344880E+00
   16.297508     -2.933838325722E+00      1.801618560967E-01      2.226626548828E-02      6.170017182106E-02      1.804687908892E-02      6.289847067558E-01      6.079311847497E-02      6.627029217655E+00      6.429329266083E+00
   17.475284     -2.737523267638E+00      1.600929747586E-01      1.922764687970E-02      5.349520326363E-02      1.564971916867E-02      5.893702782730E-01      5.280472632612E-02      6.653803695317E+00      6.481868893595E+00
   18.738174     -2.554165019243E+00      1.422189909794E-01      1.661675824562E-02      4.640072269956E-02      1.357625096852E-02      5.522123958544E-01      4.587507721232E-02      6.676969283565E+00      6.527447907897E+00
   20.092330     -2.382943952772E+00      1.263033615925E-01      1.437046853724E-02      4.026159908431E-02      1.178150377176E-02      5.173467381519E-01      3.986150368035E-02      6.697025265343E+00      6.566999443877E+00
   21.544347     -2.223085089939E+00      1.121351537597E-01      1.243560715926E-02      3.494559765044E-02      1.022704107206E-02      4.846246599269E-01      3.464115246339E-02      6.714398815675E+00      6.601328765208E+00
   23.101297     -2.073857191891E+00      9.952607093328E-02      1.076725610420E-02      3.033968091460E-02      8.879955143885E-03      4.539106819193E-01      3.010809816190E-02      6.729456148369E+00      6.631131708919E+00
   24.770764     -1.934571503279E+00      8.830791307904E-02      9.327361605854E-03      2.634699492578E-02      7.712022132871E-03      4.250804859690E-01      2.617089962611E-02      6.742511748756E+00      6.657010063368E+00
   26.560878     -1.804580244964E+00      7.833037545094E-02      8.083601429243E-03      2.288438802990E-02      6.698994788224E-03      3.980193186346E-01      2.275053271824E-02      6.753836078837E+00      6.679484587842E+00
   28.480359     -1.683274935950E+00      6.945912093070E-02      7.008456666583E-03      1.988035159554E-02      5.820010251916E-03      3.726207189548E-01      1.977863865439E-02      6.763662042548E+00      6.699006132513E+00
   30.538555     -1.570084609878E+00      6.157407972901E-02      6.078447639245E-03      1.727330003670E-02      5.057093071012E-03      3.487855009000E-01      1.719603586038E-02      6.772190433317E+00      6.715965180624E+00
   32.745492     -1.464473977332E+00      5.456794202863E-02      5.273502078933E-03      1.501012673269E-02      4.394736836595E-03      3.264209349299E-01      1.495145203414E-02      6.779594539721E+00      6.730700056644E+00
   35.111917     -1.365941573165E+00      4.834481684680E-02      4.576430468005E-03      1.304498627020E-02      3.819550842497E-03      3.054400848161E-01      1.300044079123E-02      6.786024050737E+00      6.743503995831E+00
   37.649358     -1.274017918238E+00      4.281903566455E-02      3.972488630032E-03      1.133826367047E-02      3.319960690502E-03      2.857612654051E-01      1.130445364886E-02      6.791608375706E+00      6.754631237666E+00
   40.370173     -1.188263717145E+00      3.791408315114E-02      3.449011711152E-03      9.855699029704E-03      2.885953836243E-03      2.673075945550E-01      9.830043279259E-03      6.796459473344E+00      6.764302280746E+00
   43.287613     -1.108268107356E+00      3.356164014102E-02      2.995106850189E-03      8.567642001058E-03      2.508862732571E-03      2.500066184138E-01      8.548178129051E-03      6.800674267582E+00      6.772708416745E+00
   46.415888     -1.033646970479E+00      2.970072621061E-02      2.601394309520E-03      7.448415247188E-03      2.181179556627E-03      2.337899938552E-01      7.433651854913E-03      6.804336714609E+00      6.780015644291E+00
